instance_id,seed,demand_volatility,n_scenarios,ef_time,ef_objective
arch_round2_s50_v0.2_k20,50,0.2,20,0.29358366599990404,2038.1615751992897
arch_round2_s50_v0.2_k30,50,0.2,30,0.07282629099972837,2065.2719495955735
arch_round2_s50_v0.2_k40,50,0.2,40,0.15846033399975568,2043.8768732486192
arch_round2_s50_v0.2_k60,50,0.2,60,0.25575025000034657,2016.3690734146467
arch_round2_s50_v0.3_k20,50,0.3,20,0.11463000000003376,2037.741040047459
arch_round2_s50_v0.3_k30,50,0.3,30,0.0537935419997666,2123.4691781776355
arch_round2_s50_v0.3_k40,50,0.3,40,0.07699245900039386,2055.335248793942
arch_round2_s50_v0.3_k60,50,0.3,60,0.13220479200026602,2025.3393515753703
arch_round2_s51_v0.2_k20,51,0.2,20,0.17638695899950108,1932.4495943737306
arch_round2_s51_v0.2_k30,51,0.2,30,0.05284462500094378,2000.3117134297488
arch_round2_s51_v0.2_k40,51,0.2,40,0.07582000000002154,2024.011648034118
arch_round2_s51_v0.2_k60,51,0.2,60,0.2647772079999413,1963.7419593389159
arch_round2_s51_v0.3_k20,51,0.3,20,0.06954299999961222,1933.1095480112522
arch_round2_s51_v0.3_k30,51,0.3,30,0.053299207998861675,2081.03815607371
arch_round2_s51_v0.3_k40,51,0.3,40,0.07655804099886154,2117.381410323322
arch_round2_s51_v0.3_k60,51,0.3,60,0.1318757499993808,1980.4810887703097
arch_round2_s52_v0.2_k20,52,0.2,20,0.03253329200015287,1905.2567953490816
arch_round2_s52_v0.2_k30,52,0.2,30,0.05281891699996777,1878.7227034799407
arch_round2_s52_v0.2_k40,52,0.2,40,0.07626800000070943,1847.211646525642
arch_round2_s52_v0.2_k60,52,0.2,60,0.695599749999019,1821.0571758150484
arch_round2_s52_v0.3_k20,52,0.3,20,0.032645291999870096,1990.4062063778792
arch_round2_s52_v0.3_k30,52,0.3,30,0.05380775000048743,1963.3137619133486
arch_round2_s52_v0.3_k40,52,0.3,40,0.07841554099832138,1912.808406086767
arch_round2_s52_v0.3_k60,52,0.3,60,0.14696512499904202,1826.95481464047
arch_round2_s53_v0.2_k20,53,0.2,20,0.032765500000095926,1814.867151974601
arch_round2_s53_v0.2_k30,53,0.2,30,0.18791341600081068,1823.616574644068
arch_round2_s53_v0.2_k40,53,0.2,40,0.13028012500035402,1828.3613264023795
arch_round2_s53_v0.2_k60,53,0.2,60,0.38896508300058485,1816.5084393008326
arch_round2_s53_v0.3_k20,53,0.3,20,0.03475175000130548,1849.579565036565
arch_round2_s53_v0.3_k30,53,0.3,30,0.05574049999995623,1857.4074136471233
arch_round2_s53_v0.3_k40,53,0.3,40,0.08062425000025542,1868.3670216087817
