run_id,instance_id,config_name,incumbent_objective,certified_lower_bound,final_gap,iterations,total_generated_cuts,total_retained_cuts,time_to_first_feasible,time_to_5pct_gap,time_to_1pct_gap,time_to_proof,wall_clock_seconds,exact_corrections,termination_reason,proved
audit_small_01__BD-SC,audit_small_01,BD-SC,1024.2661573231119,1024.2661573231117,2.2198690625243948e-16,3,3,3,0.002749042003415525,0.009678500005975366,0.009678500005975366,0.009678500005975366,0.009681958996225148,3,certified_optimality_gap,1
audit_small_01__BD-MC,audit_small_01,BD-MC,1024.2661573231119,1024.2661573231119,0.0,3,12,12,0.0016544170212000608,0.007398375018965453,0.007398375018965453,0.007398375018965453,0.007401374983601272,3,certified_optimality_gap,1
audit_small_01__BD-MC-P-F,audit_small_01,BD-MC-P-F,1024.2661573231119,721.9556225445738,0.29514841686131404,40,160,6,0.0031178330536931753,,,,0.13119833305245265,41,max_iterations,0
audit_small_01__BD-MC-P,audit_small_01,BD-MC-P,1024.2661573231119,1024.2661573231117,2.2198690625243948e-16,3,12,12,0.003091250022407621,0.012027290998958051,0.012027290998958051,0.012027290998958051,0.012030000041704625,3,certified_optimality_gap,1
audit_small_01__HEB-Base,audit_small_01,HEB-Base,1024.2661573231119,1024.2661573231119,0.0,2,36,36,0.0021133340196684003,0.019789625017438084,0.019789625017438084,0.019789625017438084,0.01979312504408881,2,certified_optimality_gap,1
audit_small_01__HEB-QI-P,audit_small_01,HEB-QI-P,1024.2661573231119,1024.2661573231117,2.2198690625243948e-16,2,44,44,0.00393258297117427,0.04150170797947794,0.04150170797947794,0.04150170797947794,0.041504999971948564,2,certified_optimality_gap,1
audit_small_01__HEB-QI-F-P,audit_small_01,HEB-QI-F-P,1024.2661573231119,721.9556225445738,0.29514841686131404,40,804,6,0.0038886250113137066,,,,0.691141500021331,41,max_iterations,0
audit_small_02__BD-SC,audit_small_02,BD-SC,797.2128635815097,797.2128635815095,2.852107458750063e-16,3,3,3,0.0023659999715164304,0.012426957953721285,0.012426957953721285,0.012426957953721285,0.01242979196831584,3,certified_optimality_gap,1
audit_small_02__BD-MC,audit_small_02,BD-MC,797.2128635815097,797.2128635815097,0.0,3,15,15,0.002032875025179237,0.008968375041149557,0.008968375041149557,0.008968375041149557,0.008971000032033771,3,certified_optimality_gap,1
audit_small_02__BD-MC-P-F,audit_small_02,BD-MC-P-F,797.2128635815097,797.2128635815097,0.0,3,15,10,0.004242458031512797,0.016367125033866614,0.016367125033866614,0.016367125033866614,0.01637104101246223,3,certified_optimality_gap,1
audit_small_02__BD-MC-P,audit_small_02,BD-MC-P,797.2128635815097,797.2128635815097,0.0,3,15,15,0.003918041009455919,0.014847125043161213,0.014847125043161213,0.014847125043161213,0.014850000035949051,3,certified_optimality_gap,1
audit_small_02__HEB-Base,audit_small_02,HEB-Base,797.2128635815097,797.2128635815097,0.0,2,45,45,0.002496875007636845,0.02366383298067376,0.02366383298067376,0.02366383298067376,0.023667333007324487,2,certified_optimality_gap,1
audit_small_02__HEB-QI-P,audit_small_02,HEB-QI-P,797.2128635815097,797.2128635815097,0.0,2,75,75,0.004797833971679211,0.0726218749769032,0.0726218749769032,0.0726218749769032,0.07262633397476748,2,certified_optimality_gap,1
audit_small_02__HEB-QI-F-P,audit_small_02,HEB-QI-F-P,797.2128635815097,796.4606688381368,0.0009435306148895378,40,1205,10,0.004609541967511177,0.05896637495607138,0.05896637495607138,,1.1909642500104383,41,max_iterations,0
audit_medium_01__BD-SC,audit_medium_01,BD-SC,1038.245226594427,1038.2452265944269,2.1899804556679337e-16,3,3,3,0.002749584033153951,0.013796667044516653,0.013796667044516653,0.013796667044516653,0.013799834006931633,3,certified_optimality_gap,1
audit_medium_01__BD-MC,audit_medium_01,BD-MC,1038.245226594427,1038.2452265944269,2.1899804556679337e-16,3,18,18,0.0025601250235922635,0.01011741702677682,0.01011741702677682,0.01011741702677682,0.010120042017661035,3,certified_optimality_gap,1
audit_medium_01__BD-MC-P-F,audit_medium_01,BD-MC-P-F,1038.245226594427,972.9625192503057,0.06287792678638816,40,240,11,0.005066583980806172,,,,0.22275662497850135,41,max_iterations,0
audit_medium_01__BD-MC-P,audit_medium_01,BD-MC-P,1038.245226594427,1038.2452265944341,0.0,3,18,18,0.0048762919614091516,0.018048958969302475,0.018048958969302475,0.018048958969302475,0.01805212500039488,3,certified_optimality_gap,1
audit_medium_01__HEB-Base,audit_medium_01,HEB-Base,1038.245226594427,1038.2452265944269,2.1899804556679337e-16,2,54,54,0.0031072500278241932,0.02943262504413724,0.02943262504413724,0.02943262504413724,0.02943570801289752,2,certified_optimality_gap,1
audit_medium_01__HEB-QI-P,audit_medium_01,HEB-QI-P,1038.245226594427,1038.2452265944341,0.0,2,90,90,0.005893875029869378,0.09615400002803653,0.09615400002803653,0.09615400002803653,0.09615933400345966,2,certified_optimality_gap,1
audit_medium_01__HEB-QI-F-P,audit_medium_01,HEB-QI-F-P,1038.245226594427,972.9625192503057,0.06287792678638816,40,1446,12,0.006272834027186036,,,,1.4590774590033107,41,max_iterations,0
